seed,phase3_source_epoch,source_kind,slurm_job_id
83,0,pre_intervention,20360982
83,20,milestone,20360983
83,32,local_accuracy_stopper,20360978
83,40,milestone,20360985
83,60,milestone,20360991
83,80,milestone,20360984
184,0,pre_intervention,20360988
184,20,milestone,20360977
184,40,milestone,20360979
184,44,local_accuracy_stopper,20360989
184,60,milestone,20360990
184,80,milestone,20360986
285,0,pre_intervention,20360976
285,20,milestone_and_local_accuracy_stopper,20360980
285,40,milestone,20360981
285,60,milestone,20360987
285,80,milestone,20360975
