seed,phase_epoch,full_accuracy,full_loss,dominant_only_accuracy,dominant_only_loss,weak_only_accuracy,weak_only_loss
83,0,0.8804,0.9098271990476775,0.8392,1.2102237789750565,0.1834,5.820952823531767
83,20,0.8822,0.9792357580236573,0.8388,1.309510884000064,0.2286,5.848709629792059
83,40,0.884,1.0155216592995604,0.8388,1.3669626330342115,0.238,5.442856689791653
83,60,0.8822,1.061448198316518,0.8414,1.3291354870272982,0.2224,6.63195834849767
83,80,0.8856,1.0484837758245533,0.8464,1.315079398617627,0.2046,6.753106516219823
83,100,0.8846,1.0540605168727941,0.839,1.402512868602947,0.2,6.8286604334249015
83,120,0.8834,1.1253070087577701,0.843,1.4028260629137699,0.2266,7.015473691569118
83,140,0.8816,1.168453701234768,0.8364,1.5459316864529198,0.202,8.52333101171661
83,160,0.8824,1.1151488341521572,0.8412,1.4526342473436882,0.2046,8.2445046300396
83,180,0.8808,1.1382377923358573,0.8392,1.5094758546676696,0.1708,10.142996812493408
83,200,0.8772,1.1808387971541763,0.8338,1.5791263834984681,0.209,8.783923246421368
184,0,0.8622,0.9645781579822813,0.7772,1.4551133995627592,0.2882,4.1510005913645935
184,20,0.8634,0.9784823850822144,0.787,1.4264609671732418,0.2854,4.538870147818149
184,40,0.8616,1.0224833122332782,0.783,1.517159714194625,0.2854,4.860955890450605
184,60,0.865,1.0653774867943189,0.7838,1.5548867109227051,0.2942,4.86416443785284
184,80,0.8656,1.1123206296400245,0.7884,1.541218010565308,0.307,4.6195399039875
184,100,0.8574,1.1574359695976866,0.7888,1.5724931849036206,0.279,5.326487224355731
184,120,0.8598,1.1709062697827461,0.7888,1.6099204169801271,0.3116,4.852096263545697
184,140,0.8606,1.1471374504524838,0.7846,1.6703442020742278,0.2812,5.403784254064028
184,160,0.8618,1.16919997769131,0.7872,1.6933650370982303,0.3094,5.1577931548534846
184,180,0.8598,1.181802151144019,0.7888,1.6658810218778972,0.3136,5.1581921795820875
184,200,0.862,1.191068775083343,0.7904,1.6623176313155044,0.3134,5.1890290878216545
285,0,0.878,0.9257759212155481,0.8384,1.1130908114377611,0.2038,5.90227707367631
285,20,0.8766,1.045188078980534,0.8394,1.248237050051049,0.2156,6.51041014465564
285,40,0.8762,1.0304394843108478,0.844,1.1978181455649577,0.1996,8.06862477219834
285,60,0.8754,1.0499325082657018,0.8418,1.2226263253292644,0.2128,8.193790577235715
285,80,0.8736,1.1008709629640476,0.8438,1.286858535866838,0.1906,8.09373172760589
285,100,0.8784,1.1423943913897112,0.8454,1.3900057163877846,0.1822,9.672213938145049
285,120,0.874,1.136448800368322,0.8354,1.402708936272868,0.1684,10.405380438091267
285,140,0.8776,1.1375507472722453,0.8446,1.3070761899755932,0.187,9.33460882303867
285,160,0.876,1.1603902371487935,0.8466,1.3376309336694099,0.2082,8.477376499856469
285,180,0.8774,1.1441929757393394,0.8438,1.347449057330731,0.1824,9.587539613230252
285,200,0.875,1.1733293428501048,0.8438,1.3763210785942088,0.178,8.993207063377126
