seed,phase_epoch,weak_accuracy,full_accuracy,dominant_accuracy,weak_accuracy_gain,full_accuracy_change,dominant_accuracy_change,is_feasible_point,compatibility_bad_checks
83,5,0.6598,0.5166,0.5438,0.4312,-0.36360000000000003,-0.29500000000000004,False,1
83,10,0.7454,0.622,0.6222,0.5167999999999999,-0.2582,-0.21660000000000001,False,2
83,15,0.7762,0.6438,0.6482,0.5476,-0.23639999999999994,-0.1906,False,3
83,20,0.7946,0.6442,0.6612,0.566,-0.236,-0.17759999999999998,False,4
83,25,0.7974,0.7022,0.7154,0.5688,-0.17799999999999994,-0.12339999999999995,False,5
83,30,0.7882,0.6692,0.6906,0.5596,-0.21099999999999997,-0.1482,False,6
83,35,0.8014,0.6688,0.6838,0.5728,-0.21140000000000003,-0.15500000000000003,False,7
83,40,0.809,0.6716,0.7052,0.5804,-0.2086,-0.13359999999999994,False,8
83,45,0.814,0.7168,0.7016,0.5853999999999999,-0.1634,-0.1372,False,9
83,50,0.8112,0.7428,0.7192,0.5826,-0.13739999999999997,-0.11960000000000004,False,10
83,55,0.8192,0.7448,0.6996,0.5906,-0.13539999999999996,-0.1392,False,11
83,60,0.8118,0.716,0.6922,0.5831999999999999,-0.1642,-0.14659999999999995,False,12
83,65,0.8174,0.7114,0.6974,0.5888,-0.16879999999999995,-0.14139999999999997,False,13
83,70,0.814,0.6926,0.7124,0.5853999999999999,-0.1876,-0.12639999999999996,False,14
83,75,0.823,0.7148,0.7014,0.5943999999999999,-0.1654,-0.13739999999999997,False,15
83,80,0.8234,0.745,0.6964,0.5948,-0.1352,-0.14239999999999997,False,16
83,85,0.8214,0.7196,0.7106,0.5928,-0.16059999999999997,-0.12819999999999998,False,17
83,90,0.8236,0.7304,0.7098,0.595,-0.14979999999999993,-0.129,False,18
83,95,0.8342,0.7366,0.7136,0.6056,-0.14359999999999995,-0.12519999999999998,False,19
83,100,0.8254,0.7368,0.7218,0.5968,-0.14339999999999997,-0.11699999999999999,False,20
83,105,0.8264,0.7518,0.7122,0.5978,-0.12839999999999996,-0.12659999999999993,False,21
83,110,0.8256,0.7338,0.7032,0.597,-0.14639999999999997,-0.13559999999999994,False,22
83,115,0.8296,0.7422,0.6984,0.601,-0.138,-0.14039999999999997,False,23
83,120,0.8332,0.7512,0.7086,0.6046,-0.129,-0.13019999999999998,False,24
83,125,0.8288,0.7304,0.7042,0.6002,-0.14979999999999993,-0.13459999999999994,False,25
83,130,0.8338,0.7426,0.7024,0.6052,-0.13759999999999994,-0.13639999999999997,False,26
83,135,0.8252,0.7324,0.7018,0.5966,-0.14779999999999993,-0.137,False,27
83,140,0.831,0.7464,0.708,0.6023999999999999,-0.13380000000000003,-0.13080000000000003,False,28
83,145,0.8296,0.7326,0.6856,0.601,-0.14759999999999995,-0.1532,False,29
83,150,0.8366,0.736,0.6984,0.608,-0.1442,-0.14039999999999997,False,30
83,155,0.8314,0.7206,0.6948,0.6028,-0.15959999999999996,-0.14400000000000002,False,31
