seed,phase_epoch,weak_accuracy,full_accuracy,dominant_accuracy,weak_accuracy_gain,full_accuracy_change,dominant_accuracy_change,weak_accuracy_slope,full_accuracy_slope,dominant_accuracy_slope,target,pareto_reversal,weak_futile,accuracy_harm,futility_with_harm,target_checks,pareto_checks,futility_harm_checks,dominator_epoch
83,5,0.6598,0.5166,0.5438,0.4312,-0.36360000000000003,-0.29500000000000004,,,,False,False,False,False,False,0,0,0,
83,10,0.7454,0.622,0.6222,0.5167999999999999,-0.2582,-0.21660000000000001,,,,False,False,False,False,False,0,0,0,
83,15,0.7762,0.6438,0.6482,0.5476,-0.23639999999999994,-0.1906,,,,False,False,False,False,False,0,0,0,
83,20,0.7946,0.6442,0.6612,0.566,-0.236,-0.17759999999999998,,,,False,False,False,False,False,0,0,0,
83,25,0.7974,0.7022,0.7154,0.5688,-0.17799999999999994,-0.12339999999999995,0.006487999999999999,0.007868000000000003,0.007644000000000004,True,False,False,False,False,1,0,0,
83,30,0.7882,0.6692,0.6906,0.5596,-0.21099999999999997,-0.1482,0.0021360000000000025,0.003056000000000001,0.004080000000000002,False,True,False,False,False,0,1,0,25
83,35,0.8014,0.6688,0.6838,0.5728,-0.21140000000000003,-0.15500000000000003,0.0008800000000000008,0.001499999999999997,0.002011999999999998,True,False,False,False,False,1,0,0,
83,40,0.809,0.6716,0.7052,0.5804,-0.2086,-0.13359999999999994,0.0006560000000000033,0.0004279999999999973,0.001128,True,False,False,False,False,2,0,0,
83,45,0.814,0.7168,0.7016,0.5853999999999999,-0.1634,-0.1372,0.0010799999999999987,0.000631999999999997,-0.00026000000000000025,False,False,False,True,False,0,0,0,
83,50,0.8112,0.7428,0.7192,0.5826,-0.13739999999999997,-0.11960000000000004,0.0011719999999999996,0.003904000000000001,0.0014999999999999992,True,False,False,False,False,1,0,0,
83,55,0.8192,0.7448,0.6996,0.5906,-0.13539999999999996,-0.1392,0.0007560000000000011,0.0044640000000000036,0.0009119999999999995,True,False,False,False,False,2,0,0,
83,60,0.8118,0.716,0.6922,0.5831999999999999,-0.1642,-0.14659999999999995,0.00021599999999999842,0.0023360000000000004,-0.0005600000000000005,False,True,False,True,False,0,1,0,55
83,65,0.8174,0.7114,0.6974,0.5888,-0.16879999999999995,-0.14139999999999997,0.00014800000000000146,-0.0007519999999999993,-0.0007079999999999975,False,True,False,True,False,0,2,0,55
83,70,0.814,0.6926,0.7124,0.5853999999999999,-0.1876,-0.12639999999999996,7.599999999999607e-05,-0.0026760000000000004,-0.0003159999999999963,False,False,False,True,False,0,0,0,
83,75,0.823,0.7148,0.7014,0.5943999999999999,-0.1654,-0.13739999999999997,0.00019599999999999617,-0.0016680000000000006,0.0004760000000000009,False,False,False,True,False,0,0,0,
83,80,0.8234,0.745,0.6964,0.5948,-0.1352,-0.14239999999999997,0.000576000000000001,0.0012280000000000001,0.0002479999999999993,True,False,False,False,False,1,0,0,
83,85,0.8214,0.7196,0.7106,0.5928,-0.16059999999999997,-0.12819999999999998,0.00034800000000000163,0.0013759999999999994,0.0002079999999999993,True,False,False,False,False,2,0,0,
