seed,e3,wandb_run_id,best_loss_epoch,best_loss,accuracy_at_best_loss,max_accuracy_epoch,max_accuracy,loss_at_max_accuracy,budget_max_accuracy_epoch,budget_max_accuracy,budget_loss_at_max_accuracy,final_full_loss,final_full_accuracy,final_dominant_loss,final_dominant_accuracy,final_weak_loss,final_weak_accuracy,final_weak_utility
83,0,7agoamg7,5,0.8896820257,0.8792,185,0.8878,0.9707288182,185,0.8878,0.9707288182,0.9873072215,0.8814,1.1955492118,0.8466,7.2673487264,0.2228,0.2082419903
83,20,egghzsiw,5,0.6653363708,0.8804,160,0.8930,0.8475948053,160,0.8930,0.8475948053,0.9154038732,0.8886,1.1274979532,0.8536,4.3572767740,0.3854,0.2120940800
83,40,we8j1621,5,0.6034579615,0.8826,150,0.8976,0.8362992185,150,0.8976,0.8362992185,0.8639002579,0.8916,1.1724055178,0.8490,3.9776815421,0.4160,0.3085052599
83,60,m8xutgl0,5,0.5040564203,0.8874,140,0.9026,0.7412797752,140,0.9026,0.7412797752,0.7942971596,0.8964,1.1944230914,0.8378,3.0141099876,0.5632,0.4001259318
83,80,krhzvjt5,5,0.6318046303,0.8752,185,0.8874,0.8089891868,110,0.8860,0.7741970807,0.8528915955,0.8826,3.3868857730,0.5518,1.2309286693,0.8172,2.5339941776
83,120,3asvj585,5,0.7433035589,0.8594,165,0.8784,0.9305956692,70,0.8706,0.9164497648,0.9850729195,0.8686,3.8447961195,0.3846,1.3115399030,0.8208,2.8597231999
83,200,udpw7vu0,5,0.8247076902,0.8640,180,0.8652,1.0904948135,0,0.7560,2.0926212007,1.1281205378,0.8596,9.7582870099,0.2074,1.3509595811,0.8296,8.6301664721
184,0,elnu04h0,30,0.9891934856,0.8610,80,0.8676,1.0767909254,80,0.8676,1.0767909254,1.1416933136,0.8604,1.6188635765,0.7974,5.7850571569,0.2642,0.4771702629
184,20,e498zmmu,5,0.6844432452,0.8660,75,0.8758,0.9228431733,75,0.8758,0.9228431733,1.0318165306,0.8704,1.5695486093,0.7956,5.0238289785,0.3126,0.5377320787
184,40,r9vor3yn,5,0.6940088590,0.8680,190,0.8822,0.9592064023,160,0.8802,0.9640521499,1.0041382701,0.8736,1.6850705367,0.7828,5.0524823215,0.3530,0.6809322666
184,60,rt8qnkv8,5,0.6575962674,0.8614,165,0.8872,0.8158391963,95,0.8826,0.8152763704,0.8311200491,0.8826,1.8520985840,0.7288,2.1120420456,0.6554,1.0209785348
184,80,6kmapx7e,5,0.8081256855,0.8426,190,0.8596,0.9901968342,75,0.8548,0.9941829653,1.0595886626,0.8566,10.9650761586,0.1576,1.4596971058,0.7834,9.9054874960
184,120,9n2pyyn6,5,0.9281033516,0.8324,200,0.8444,1.1930414590,70,0.8436,1.0999243571,1.1930414590,0.8444,17.3117445527,0.1008,1.5268116515,0.7928,16.1187030938
184,200,sexg8zra,5,1.0449903637,0.8360,185,0.8398,1.2519823853,0,0.6242,3.5502728567,1.3076973743,0.8326,16.4735204931,0.1414,1.5309968367,0.8006,15.1658231188
285,0,2jh41fy7,5,0.9698870037,0.8680,40,0.8732,0.9873784628,40,0.8732,0.9873784628,1.0558878602,0.8682,1.3785243693,0.8138,6.5566388133,0.2102,0.3226365092
285,20,acm38r3q,5,0.7221903891,0.8688,185,0.8790,0.9813844857,170,0.8762,0.9798539859,1.0282300706,0.8718,1.3421130128,0.8228,9.2612303006,0.1862,0.3138829422
285,40,r1qfrvz1,5,0.6752905527,0.8706,30,0.8792,0.7684327997,30,0.8792,0.7684327997,0.9615944451,0.8750,1.3212103816,0.8200,7.6333623954,0.2368,0.3596159365
285,60,42erjujj,5,0.5875351463,0.8684,170,0.8848,0.8671334768,100,0.8840,0.7949648698,0.9011811920,0.8794,1.3318346981,0.8210,4.4337714764,0.4360,0.4306535061
285,80,hbqolj74,5,0.7726468075,0.8450,175,0.8614,1.0306671940,120,0.8526,1.0069199480,1.0858008418,0.8560,6.2829462222,0.3004,1.4270229954,0.8024,5.1971453804
285,120,mdzj4ub8,5,0.9087109441,0.8328,170,0.8552,1.1449419219,55,0.8410,1.0884283712,1.1966775893,0.8454,11.2901477551,0.1268,1.4466724616,0.8110,10.0934701658
285,200,f19rpu0s,5,1.0307041084,0.8290,170,0.8396,1.2638164264,0,0.6954,2.5087515039,1.3306797043,0.8324,13.3759265902,0.1052,1.5079864432,0.8112,12.0452468858
