phase_epoch,mean_full_accuracy,mean_dominant_accuracy,mean_weak_accuracy,mean_full_loss,mean_dominant_loss,mean_weak_loss
0,0.873533,0.818267,0.225133,0.933394,1.259476,5.291410
1,0.623467,0.630733,0.540067,3.562832,3.340248,1.310517
2,0.624200,0.642533,0.579533,2.460176,2.280974,1.208686
3,0.618133,0.632200,0.613000,2.091905,1.955354,1.114301
4,0.591000,0.618267,0.630333,1.879999,1.662478,1.062970
20,0.547533,0.613067,0.768800,2.502148,1.754175,0.788171
40,0.593400,0.637867,0.788200,2.627002,2.001563,0.963908
60,0.580067,0.614933,0.796533,3.046534,2.398406,1.048751
80,0.588400,0.617667,0.797133,3.409180,2.469001,1.139579
100,0.604000,0.629267,0.807133,3.248136,2.486175,1.161612
120,0.636867,0.630400,0.806400,3.132095,2.570340,1.224777
140,0.645000,0.625933,0.809867,3.129743,2.704770,1.256466
160,0.635867,0.623800,0.810867,3.404618,2.803480,1.299905
180,0.648533,0.632267,0.813533,3.290827,2.768827,1.323336
200,0.648933,0.627133,0.814000,3.182957,2.841174,1.312070
