warmup_epochs,phase4_epoch,mean_full_accuracy,mean_dominant_accuracy,mean_current_weak_accuracy,mean_current_right_anchor_shared_accuracy,mean_anchor_right_current_shared_accuracy
0,0,0.828600,0.817200,0.772000,0.772000,0.772000
0,1,0.873000,0.716600,0.390467,0.724267,0.481400
0,2,0.877467,0.736267,0.407600,0.704667,0.506133
0,3,0.876267,0.728533,0.362400,0.684533,0.476267
0,4,0.878200,0.741067,0.393000,0.673400,0.515933
0,5,0.877000,0.730400,0.365733,0.660933,0.501067
0,10,0.879667,0.745067,0.371200,0.635467,0.518200
4,0,0.828600,0.817200,0.772000,0.772000,0.772000
4,1,0.881533,0.721600,0.514267,0.774333,0.525667
4,2,0.881067,0.712200,0.468200,0.761267,0.509133
4,3,0.882733,0.711800,0.451867,0.744733,0.509133
4,4,0.876333,0.723867,0.417867,0.725067,0.495933
4,5,0.873133,0.717733,0.371200,0.701733,0.462267
4,10,0.877333,0.748000,0.383733,0.658533,0.493867
