series,e3,seed,job,selected_e4,full_accuracy,dominant_accuracy,weak_accuracy,full_loss,weak_loss
fixed_milestone,140,83,20357242,150,0.9056,0.7962,0.4694,0.76651,4.13104
fixed_milestone,140,184,20357246,165,0.8894,0.7566,0.3624,0.80540,5.29567
fixed_milestone,140,285,20357243,190,0.9002,0.7950,0.4118,0.86932,3.87144
fixed_milestone,160,83,20357247,105,0.9060,0.8160,0.5626,0.72937,2.81090
fixed_milestone,160,184,20357245,125,0.8914,0.7594,0.3236,0.85869,5.70849
fixed_milestone,160,285,20357244,190,0.8968,0.7954,0.4950,0.85825,2.84492
repeated_look_ci_fallback,188,83,20357275,195,0.9078,0.8066,0.4972,0.72498,4.48038
repeated_look_ci_fallback,176,184,20357276,185,0.8894,0.7570,0.4068,0.85067,4.53477
repeated_look_ci_fallback,156,285,20357277,145,0.8948,0.7928,0.4716,0.85494,2.97734
full_plus_weak_e4_probe,40,83,20357331,10,0.8844,0.8190,0.7368,0.49942,0.79706
full_plus_weak_e4_probe,40,184,20357332,5,0.8528,0.7856,0.6484,0.58255,1.08728
full_plus_weak_e4_probe,40,285,20357334,10,0.8674,0.7958,0.7308,0.58407,0.79713
