seed,e3,slurm_job_id,wandb_run_id,selected_p4_epoch,val_full_accuracy,val_full_loss,val_dominant_accuracy,val_weak_accuracy,budget_selected_p4_epoch,budget_val_full_accuracy,budget_val_dominant_accuracy,budget_val_weak_accuracy,test_policy
83,20,20336050,y0y9j207,90,0.8930,0.8068726293439212,0.8298,0.2982,90,0.8930,0.8298,0.2982,disabled
83,40,20336060,cs7vux9d,160,0.8942,0.8659692767799689,0.8070,0.3482,160,0.8942,0.8070,0.3482,disabled
83,60,20336052,b4qi0wvj,90,0.8944,0.8025929233037373,0.8116,0.3536,90,0.8944,0.8116,0.3536,disabled
83,80,20336053,bjjc8ead,135,0.8994,0.7800538044250025,0.8156,0.4532,65,0.8970,0.7944,0.4140,disabled
83,100,20355173,1ce590np,200,0.9020,0.7791836223577269,0.8086,0.5262,85,0.9008,0.7938,0.4790,disabled
83,120,20355172,l26414jy,165,0.9048,0.7463798290279338,0.8020,0.4768,75,0.9032,0.8034,0.4598,disabled
184,20,20336059,dgnvr7f8,135,0.8764,0.9790830336559823,0.7654,0.2246,135,0.8764,0.7654,0.2246,disabled
184,40,20336049,7nlgt0u4,180,0.8810,0.9525896911462575,0.7480,0.2976,150,0.8796,0.7298,0.2382,disabled
184,60,20336054,9f0x1s0g,185,0.8854,0.9053709515060623,0.7564,0.3300,140,0.8828,0.7336,0.2828,disabled
184,80,20336056,7jxfwsyp,105,0.8854,0.8827968044891907,0.7330,0.2960,105,0.8854,0.7330,0.2960,disabled
184,100,20355176,e29c1ks5,65,0.8876,0.8275187383285083,0.7422,0.3178,65,0.8876,0.7422,0.3178,disabled
184,120,20355177,v7aw5jxn,140,0.8874,0.8739576420286096,0.7574,0.3592,70,0.8856,0.7474,0.3532,disabled
285,20,20336051,tp70l37x,20,0.8804,0.8876583927006695,0.7860,0.2972,20,0.8804,0.7860,0.2972,disabled
285,40,20336058,cpb8tzua,155,0.8858,0.9274660523839702,0.7980,0.3330,155,0.8858,0.7980,0.3330,disabled
285,60,20336057,l2ic6fcs,170,0.8896,0.8961468487248675,0.8076,0.3948,135,0.8880,0.7978,0.2898,disabled
285,80,20336055,fhw35j7e,150,0.8916,0.9021640052907144,0.8112,0.4144,75,0.8914,0.8016,0.3562,disabled
285,100,20355178,8x9fsd6b,185,0.8926,0.8345836656676869,0.7844,0.4422,95,0.8908,0.7876,0.4454,disabled
285,120,20355175,hjo5vifs,85,0.8948,0.7760552651293168,0.7782,0.3850,25,0.8924,0.7770,0.3974,disabled
