seed,e3,slurm_job_id,wandb_run_id,selected_p4_epoch,val_full_accuracy,val_full_loss,val_dominant_accuracy,val_weak_accuracy,test_proper_accuracy,test_proper_loss,test_blurred_accuracy,test_blurred_loss,budget_selected_p4_epoch,budget_val_full_accuracy,budget_test_proper_accuracy,budget_test_blurred_accuracy
83,20,20273138,f281x6re,170,0.8914,0.9193419165799389,0.8438,0.371,0.8795,0.9178789760917425,0.8608,1.0736748468130828,170,0.8914,0.8795,0.8608
83,40,20273152,9svuw236,180,0.8986,0.8260745215024295,0.8464,0.4842,0.8861,0.8848356503993273,0.8561,1.1319569416344166,150,0.8964,0.8845,0.8523
83,60,20273143,3qfosuj5,175,0.9038,0.785004514865212,0.8404,0.5884,0.8927,0.8031317979097367,0.8441,1.236821798235178,105,0.8992,0.8906,0.8413
83,80,20273146,bc4lwwfu,180,0.8876,0.8275389123860005,0.493,0.808,0.8775,0.898890158161521,0.484,4.957373920083046,95,0.883,0.8701,0.4154
83,200,20273140,rkav3tie,175,0.8648,1.1061056608217505,0.1622,0.8246,0.851,1.2003309592604636,0.2857,8.339269417524338,0,0.7178,0.7184,0.4157
184,20,20273145,17oc3d1x,190,0.887,0.895228545405248,0.799,0.246,0.8685,0.9372113408520818,0.8436,1.1165779944509269,90,0.8804,0.8671,0.846
184,40,20273141,ag1046vl,180,0.8902,0.8551056153309881,0.781,0.4086,0.8772,0.8894232954829931,0.8318,1.2234328620135784,115,0.8894,0.8777,0.8324
184,60,20273147,sjcgvzy6,170,0.87,0.9669667688259569,0.2084,0.771,0.8582,1.0794797524809838,0.4104,5.469953531026841,110,0.869,0.8546,0.4059
184,80,20273153,waa1yqfr,190,0.864,1.050020714663481,0.1352,0.801,0.85,1.2323155246675015,0.379,6.144664186239242,105,0.8586,0.8444,0.3592
184,200,20273139,sp2jucor,185,0.8456,1.2613469523505632,0.101,0.8192,0.836,1.42460330799222,0.275,9.200876021385193,0,0.554,0.5536,0.3929
285,20,20273137,ccvy5456,140,0.8824,0.8496379854240016,0.8336,0.2798,0.8654,0.9488682556897402,0.8471,1.1250428158789874,140,0.8824,0.8654,0.8471
285,40,20273148,4pbhvphd,165,0.8848,0.8690241027336179,0.8316,0.3662,0.8755,0.9221068300306797,0.8471,1.1428071439266205,150,0.8846,0.8656,0.8304
285,60,20273149,gfxxrlek,185,0.8724,0.9870276029069948,0.2358,0.7942,0.8633,1.0438955876976252,0.4832,4.59624091386795,130,0.869,0.8598,0.4768
285,80,20273142,fbvx1en2,185,0.8626,1.10335672467372,0.142,0.8082,0.849,1.1784849133342505,0.3379,7.31200805902481,120,0.8546,0.8432,0.3834
285,200,20273150,xj0cqayb,135,0.8438,1.2599300714487736,0.1296,0.8256,0.8302,1.359937695041299,0.2501,10.096264719963074,0,0.5758,0.5666,0.31
