seed,phase4_epoch,full_accuracy,dominant_accuracy,current_weak_accuracy,current_right_anchor_shared_accuracy,anchor_right_current_shared_accuracy
83,0,0.8514,0.8304,0.7792,0.7792,0.7792
83,1,0.8916,0.7502,0.6460,0.7792,0.6460
83,2,0.8922,0.7460,0.6292,0.7792,0.6292
83,3,0.8892,0.7452,0.6152,0.7792,0.6152
83,4,0.8868,0.7464,0.5804,0.7792,0.5804
83,5,0.8848,0.7570,0.4554,0.7624,0.5192
83,10,0.8838,0.7720,0.4820,0.7324,0.6178
184,0,0.8032,0.8068,0.7732,0.7732,0.7732
184,1,0.8750,0.6884,0.5000,0.7732,0.5000
184,2,0.8714,0.6836,0.4866,0.7732,0.4866
184,3,0.8752,0.6490,0.3788,0.7732,0.3788
184,4,0.8720,0.6706,0.4496,0.7732,0.4496
184,5,0.8644,0.6594,0.3382,0.7524,0.3324
184,10,0.8758,0.6906,0.3718,0.7244,0.3676
285,0,0.8312,0.8144,0.7636,0.7636,0.7636
285,1,0.8740,0.7206,0.4306,0.7636,0.4306
285,2,0.8736,0.7132,0.4544,0.7636,0.4544
285,3,0.8762,0.6910,0.4162,0.7636,0.4162
285,4,0.8762,0.7260,0.3578,0.7636,0.3578
285,5,0.8754,0.7300,0.3464,0.7500,0.3808
285,10,0.8764,0.7588,0.3814,0.6896,0.4856
mean,0,0.828600,0.817200,0.772000,0.772000,0.772000
mean,1,0.880200,0.719733,0.525533,0.772000,0.525533
mean,2,0.879067,0.714267,0.523400,0.772000,0.523400
mean,3,0.880200,0.695067,0.470067,0.772000,0.470067
mean,4,0.878333,0.714333,0.462600,0.772000,0.462600
mean,5,0.874867,0.715467,0.380000,0.754933,0.410800
mean,10,0.878667,0.740467,0.411733,0.715467,0.490333
