seed,e3,phase4_epoch,ratio_left_to_right
83,0,5,0.42162496417956
83,0,10,0.26364985141970165
83,0,15,0.22229845476964022
83,0,20,0.2015558802680506
83,0,25,0.16481877042030157
83,0,30,0.16393373088001026
83,0,35,0.14466913474106868
83,0,40,0.14740815182755296
83,20,5,8.707583368243466
83,20,10,9.515837215034633
83,20,15,10.200521201527083
83,20,20,10.445301445209656
83,20,25,10.58289123887955
83,20,30,10.830446943837575
83,20,35,10.47277717855566
83,20,40,10.236005851766134
83,40,5,7.011449123187655
83,40,10,8.24445716000782
83,40,15,8.497655290401791
83,40,20,8.95751125196811
83,40,25,8.79899498775235
83,40,30,9.223225065815683
83,40,35,9.594426032640614
83,40,40,9.136810912210038
83,60,5,4.526987960986998
83,60,10,5.624711306955555
83,60,15,6.06280711497203
83,60,20,7.063420621383363
83,60,25,6.472428173917552
83,60,30,7.45438664317608
83,60,35,6.966194195050898
83,60,40,7.157500396302355
83,80,5,1.6837457135974279
83,80,10,1.3357944466590088
83,80,15,1.2094067826167534
83,80,20,1.119303548597173
83,80,25,1.063148628117517
83,80,30,1.0713816743078486
83,80,35,1.0503077312802709
83,80,40,0.9319280311682107
83,100,5,0.7390036636985805
83,100,10,0.4052188369654649
83,100,15,0.3487780029943759
83,100,20,0.3368671157239912
83,100,25,0.3278194000070482
83,100,30,0.2973300447775757
83,100,35,0.29197564366165857
83,100,40,0.30300226229003374
184,0,5,0.3685232163670266
184,0,10,0.2769783884439111
184,0,15,0.2308924555322021
184,0,20,0.19796312398864313
184,0,25,0.19729085920184056
184,0,30,0.19388657224601827
184,0,35,0.19203234373698588
184,0,40,0.184688696066045
184,20,5,5.01598749466604
184,20,10,5.441178885806151
184,20,15,5.787828899134155
184,20,20,5.797421375159131
184,20,25,5.359291550373237
184,20,30,5.829527606520017
184,20,35,5.492488445634463
184,20,40,6.009782801751146
184,40,5,2.7807786907000778
184,40,10,3.7721171771714417
184,40,15,3.941557518909007
184,40,20,4.240989397646554
184,40,25,4.267388003406111
184,40,30,4.353837757476813
184,40,35,4.532612745478253
184,40,40,4.175913412383807
184,60,5,0.7833156346631535
184,60,10,0.583723961981433
184,60,15,0.52256784533896
184,60,20,0.5651865825753342
184,60,25,0.504786627941858
184,60,30,0.5123563886667698
184,60,35,0.5479040159861419
184,60,40,0.5614310098897786
184,80,5,0.4569805131464054
184,80,10,0.3268723416178678
184,80,15,0.30344474714095054
184,80,20,0.2602806579402814
184,80,25,0.272582598600701
184,80,30,0.28499442526235946
184,80,35,0.2828508864384805
184,80,40,0.27194516747706565
184,100,5,0.42388260583881054
184,100,10,0.3018309443586278
184,100,15,0.25046978974412154
184,100,20,0.24368634460357835
184,100,25,0.23174954535084666
184,100,30,0.2340725986605768
184,100,35,0.2122074515658188
184,100,40,0.21357280125555667
285,0,5,0.25422539213005185
285,0,10,0.15604245367388953
285,0,15,0.10472134645558887
285,0,20,0.08926026151135191
285,0,25,0.0815093022599995
285,0,30,0.07945399292844009
285,0,35,0.06638869700360772
285,0,40,0.05900601823922271
285,20,5,12.148213728746656
285,20,10,14.751588711923583
285,20,15,16.771427335615865
285,20,20,17.217690774452947
285,20,25,15.919467897318322
285,20,30,16.03947185639608
285,20,35,16.01923402095401
285,20,40,15.230058761553481
285,40,5,9.936946046032773
285,40,10,12.83574405258273
285,40,15,13.633900024779521
285,40,20,13.417635097085913
285,40,25,13.829199211980638
285,40,30,14.223731067505282
285,40,35,14.023511626510839
285,40,40,15.12755138585401
285,60,5,5.09611887237676
285,60,10,8.079023330363626
285,60,15,9.208176200855972
285,60,20,9.422243499975089
285,60,25,10.09916412388835
285,60,30,10.829547461600002
285,60,35,10.075587445432468
285,60,40,11.290873485052728
285,80,5,0.6777374777805125
285,80,10,0.36768601546159574
285,80,15,0.3073383794360416
285,80,20,0.28191535054791617
285,80,25,0.25393009535800853
285,80,30,0.28390249043948745
285,80,35,0.2590798125266424
285,80,40,0.2565041950733669
285,100,5,0.3263988485573408
285,100,10,0.21451439374479314
285,100,15,0.1774752756117303
285,100,20,0.16304881495836895
285,100,25,0.160311668485654
285,100,30,0.16804760702507315
285,100,35,0.15101108246156375
285,100,40,0.15588710216278398
