seed,e3,phase4_epoch,ratio_left_to_right
83,40,10,8.394191308342778
83,40,20,8.809815237303848
83,40,30,9.535357500195712
83,40,40,9.493546677680069
83,40,50,9.019019842945912
83,40,60,9.923824701062264
83,40,70,9.314392234786638
83,40,80,9.922523725721234
83,40,90,9.101418912582078
83,40,100,8.888920337807352
83,40,110,9.28862298871282
83,40,120,8.515825251448991
83,40,130,8.935071292922343
83,40,140,9.482598789127866
83,40,150,9.368130462141602
83,40,160,9.498144384288711
83,40,170,9.283796139988352
83,40,180,8.680574890512315
83,40,190,8.906865680549151
83,40,200,8.591271473439337
184,40,10,3.705740117240688
184,40,20,4.073110564105441
184,40,30,4.568937758105094
184,40,40,4.483542314668967
184,40,50,4.721475709144586
184,40,60,4.370498323746613
184,40,70,4.5883086895255705
184,40,80,4.618706760689206
184,40,90,4.569482942580378
184,40,100,4.540466980755949
184,40,110,4.500491711720264
184,40,120,4.691904053656123
184,40,130,4.610742300032592
184,40,140,4.537999420177714
184,40,150,4.833804453534823
184,40,160,4.578430428958902
184,40,170,4.807948066504501
184,40,180,4.540288798801504
184,40,190,4.684344584318204
184,40,200,4.70872947196944
285,40,10,13.189957228548282
285,40,20,14.311684975991893
285,40,30,14.402583624606546
285,40,40,14.451859188075181
285,40,50,15.897248623233944
285,40,60,16.23293913535962
285,40,70,15.079688752192958
285,40,80,14.548698281257414
285,40,90,15.957096295695637
285,40,100,15.551790955008311
285,40,110,14.443946266369096
285,40,120,14.074947169483085
285,40,130,14.353611637698664
285,40,140,15.47064428086594
285,40,150,13.500443501601938
285,40,160,14.432132276212869
285,40,170,14.541564232238022
285,40,180,13.360604672459726
285,40,190,14.052317775523367
285,40,200,12.904307919376762
