seed,feature,candidate_count,spearman_prefix4_vs_full5,max_absolute_change
83,endpoint_log_ratio,6,1.0,0.11963862186663099
83,ema_log_ratio_alpha_0_5,6,1.0,0.14104252527109584
83,slope_log_ratio,6,1.0,0.013231875570517148
83,weighted_slope_log_ratio,6,1.0,0.02114571822695387
83,forecast_log_ratio_e18,6,1.0,0.17648431602108983
83,mean_log_ratio,6,1.0,0.08127526188000417
184,endpoint_log_ratio,4,1.0,0.09068504950479528
184,ema_log_ratio_alpha_0_5,4,1.0,0.07418461179379165
184,slope_log_ratio,4,1.0,0.009820728041410187
184,weighted_slope_log_ratio,4,0.7999999999999999,0.014325430535347072
184,forecast_log_ratio_e18,4,1.0,0.11956150094328397
184,mean_log_ratio,4,1.0,0.04575151225441032
285,endpoint_log_ratio,7,1.0,0.13831447621215198
285,ema_log_ratio_alpha_0_5,7,1.0,0.13892944480772385
285,slope_log_ratio,7,0.9642857142857145,0.016830140033914046
285,weighted_slope_log_ratio,7,0.9642857142857145,0.019026892448707353
285,forecast_log_ratio_e18,7,1.0,0.15880038047308653
285,mean_log_ratio,7,1.0,0.07815788097452137
