feature,seed,spearman_with_validation_full_accuracy
endpoint_log_ratio,83,0.15389675281277312
endpoint_log_ratio,184,0.8999999999999998
endpoint_log_ratio,285,0.6
ema_log_ratio_alpha_0_5,83,0.15389675281277312
ema_log_ratio_alpha_0_5,184,0.8999999999999998
ema_log_ratio_alpha_0_5,285,0.6
slope_log_ratio,83,0.6668859288553503
slope_log_ratio,184,0.9999999999999999
slope_log_ratio,285,0.7999999999999999
weighted_slope_log_ratio,83,0.6668859288553503
weighted_slope_log_ratio,184,0.8999999999999998
weighted_slope_log_ratio,285,0.7999999999999999
forecast_log_ratio_e18,83,0.15389675281277312
forecast_log_ratio_e18,184,0.8999999999999998
forecast_log_ratio_e18,285,0.6
mean_log_ratio,83,0.15389675281277312
mean_log_ratio,184,0.8999999999999998
mean_log_ratio,285,0.6
endpoint_log_ratio_minus_e3_0,83,0.15389675281277312
endpoint_log_ratio_minus_e3_0,184,0.8999999999999998
endpoint_log_ratio_minus_e3_0,285,0.6
ema_log_ratio_alpha_0_5_minus_e3_0,83,0.15389675281277312
ema_log_ratio_alpha_0_5_minus_e3_0,184,0.8999999999999998
ema_log_ratio_alpha_0_5_minus_e3_0,285,0.6
slope_log_ratio_minus_e3_0,83,0.6668859288553503
slope_log_ratio_minus_e3_0,184,0.9999999999999999
slope_log_ratio_minus_e3_0,285,0.7999999999999999
weighted_slope_log_ratio_minus_e3_0,83,0.6668859288553503
weighted_slope_log_ratio_minus_e3_0,184,0.8999999999999998
weighted_slope_log_ratio_minus_e3_0,285,0.7999999999999999
forecast_log_ratio_e18_minus_e3_0,83,0.15389675281277312
forecast_log_ratio_e18_minus_e3_0,184,0.8999999999999998
forecast_log_ratio_e18_minus_e3_0,285,0.6
mean_log_ratio_minus_e3_0,83,0.15389675281277312
mean_log_ratio_minus_e3_0,184,0.8999999999999998
mean_log_ratio_minus_e3_0,285,0.6
