feature,method,held_out_seed,target,selected_e3,oracle_e3,selected_validation_full_accuracy,oracle_validation_full_accuracy,validation_regret,absolute_e3_error
endpoint_log_ratio,target_distance,83,1.7958338807136118,60,60,0.8914,0.8914,0.0,0
endpoint_log_ratio,target_distance,184,2.011132359992007,20,40,0.8688,0.88,0.011199999999999988,20
endpoint_log_ratio,target_distance,285,1.5868744338418428,60,60,0.8822,0.8822,0.0,0
endpoint_log_ratio,quadratic_validation_fit,83,,20,60,0.8874,0.8914,0.0040000000000000036,40
endpoint_log_ratio,quadratic_validation_fit,184,,40,40,0.88,0.88,0.0,0
endpoint_log_ratio,quadratic_validation_fit,285,,60,60,0.8822,0.8822,0.0,0
ema_log_ratio_alpha_0_5,target_distance,83,1.6564316475080285,60,60,0.8914,0.8914,0.0,0
ema_log_ratio_alpha_0_5,target_distance,184,1.8749382634347822,20,40,0.8688,0.88,0.011199999999999988,20
ema_log_ratio_alpha_0_5,target_distance,285,1.491886448792326,60,60,0.8822,0.8822,0.0,0
ema_log_ratio_alpha_0_5,quadratic_validation_fit,83,,20,60,0.8874,0.8914,0.0040000000000000036,40
ema_log_ratio_alpha_0_5,quadratic_validation_fit,184,,40,40,0.88,0.88,0.0,0
ema_log_ratio_alpha_0_5,quadratic_validation_fit,285,,60,60,0.8822,0.8822,0.0,0
slope_log_ratio,target_distance,83,0.047022876188795956,60,60,0.8914,0.8914,0.0,0
slope_log_ratio,target_distance,184,0.04418643331556622,40,40,0.88,0.88,0.0,0
slope_log_ratio,target_distance,285,0.03204805327821924,20,60,0.8794,0.8822,0.0028000000000000247,40
slope_log_ratio,quadratic_validation_fit,83,,60,60,0.8914,0.8914,0.0,0
slope_log_ratio,quadratic_validation_fit,184,,20,40,0.8688,0.88,0.011199999999999988,20
slope_log_ratio,quadratic_validation_fit,285,,60,60,0.8822,0.8822,0.0,0
weighted_slope_log_ratio,target_distance,83,0.038835665168093635,60,60,0.8914,0.8914,0.0,0
weighted_slope_log_ratio,target_distance,184,0.037645933495744285,40,40,0.88,0.88,0.0,0
weighted_slope_log_ratio,target_distance,285,0.02646359242320208,40,60,0.8818,0.8822,0.00039999999999995595,20
weighted_slope_log_ratio,quadratic_validation_fit,83,,60,60,0.8914,0.8914,0.0,0
weighted_slope_log_ratio,quadratic_validation_fit,184,,20,40,0.8688,0.88,0.011199999999999988,20
weighted_slope_log_ratio,quadratic_validation_fit,285,,60,60,0.8822,0.8822,0.0,0
forecast_log_ratio_e18,target_distance,83,1.9314053307270052,60,60,0.8914,0.8914,0.0,0
forecast_log_ratio_e18,target_distance,184,2.1393001406234617,20,40,0.8688,0.88,0.011199999999999988,20
forecast_log_ratio_e18,target_distance,285,1.6792689922109205,60,60,0.8822,0.8822,0.0,0
forecast_log_ratio_e18,quadratic_validation_fit,83,,20,60,0.8874,0.8914,0.0040000000000000036,40
forecast_log_ratio_e18,quadratic_validation_fit,184,,40,40,0.88,0.88,0.0,0
forecast_log_ratio_e18,quadratic_validation_fit,285,,60,60,0.8822,0.8822,0.0,0
mean_log_ratio,target_distance,83,1.6099642364395006,60,60,0.8914,0.8914,0.0,0
mean_log_ratio,target_distance,184,1.829540231249041,20,40,0.8688,0.88,0.011199999999999988,20
mean_log_ratio,target_distance,285,1.460223787109154,60,60,0.8822,0.8822,0.0,0
mean_log_ratio,quadratic_validation_fit,83,,20,60,0.8874,0.8914,0.0040000000000000036,40
mean_log_ratio,quadratic_validation_fit,184,,40,40,0.88,0.88,0.0,0
mean_log_ratio,quadratic_validation_fit,285,,60,60,0.8822,0.8822,0.0,0
endpoint_log_ratio_minus_e3_0,target_distance,83,3.6569616492753036,40,60,0.8874,0.8914,0.0040000000000000036,20
endpoint_log_ratio_minus_e3_0,target_distance,184,3.891225714456676,20,40,0.8688,0.88,0.011199999999999988,20
endpoint_log_ratio_minus_e3_0,target_distance,285,3.0716432570787435,60,60,0.8822,0.8822,0.0,0
endpoint_log_ratio_minus_e3_0,quadratic_validation_fit,83,,20,60,0.8874,0.8914,0.0040000000000000036,40
endpoint_log_ratio_minus_e3_0,quadratic_validation_fit,184,,20,40,0.8688,0.88,0.011199999999999988,20
endpoint_log_ratio_minus_e3_0,quadratic_validation_fit,285,,60,60,0.8822,0.8822,0.0,0
ema_log_ratio_alpha_0_5_minus_e3_0,target_distance,83,3.27564910273324,40,60,0.8874,0.8914,0.0040000000000000036,20
ema_log_ratio_alpha_0_5_minus_e3_0,target_distance,184,3.4929766471407864,20,40,0.8688,0.88,0.011199999999999988,20
ema_log_ratio_alpha_0_5_minus_e3_0,target_distance,285,2.794125836660345,60,60,0.8822,0.8822,0.0,0
ema_log_ratio_alpha_0_5_minus_e3_0,quadratic_validation_fit,83,,20,60,0.8874,0.8914,0.0040000000000000036,40
ema_log_ratio_alpha_0_5_minus_e3_0,quadratic_validation_fit,184,,20,40,0.8688,0.88,0.011199999999999988,20
ema_log_ratio_alpha_0_5_minus_e3_0,quadratic_validation_fit,285,,60,60,0.8822,0.8822,0.0,0
slope_log_ratio_minus_e3_0,target_distance,83,0.11474637295307386,60,60,0.8914,0.8914,0.0,0
slope_log_ratio_minus_e3_0,target_distance,184,0.12053711349144561,40,40,0.88,0.88,0.0,0
slope_log_ratio_minus_e3_0,target_distance,285,0.08743040372476735,40,60,0.8818,0.8822,0.00039999999999995595,20
slope_log_ratio_minus_e3_0,quadratic_validation_fit,83,,60,60,0.8914,0.8914,0.0,0
slope_log_ratio_minus_e3_0,quadratic_validation_fit,184,,40,40,0.88,0.88,0.0,0
slope_log_ratio_minus_e3_0,quadratic_validation_fit,285,,60,60,0.8822,0.8822,0.0,0
weighted_slope_log_ratio_minus_e3_0,target_distance,83,0.10388736876727242,60,60,0.8914,0.8914,0.0,0
weighted_slope_log_ratio_minus_e3_0,target_distance,184,0.10861878294400248,40,40,0.88,0.88,0.0,0
weighted_slope_log_ratio_minus_e3_0,target_distance,285,0.07626986926125162,40,60,0.8818,0.8822,0.00039999999999995595,20
weighted_slope_log_ratio_minus_e3_0,quadratic_validation_fit,83,,60,60,0.8914,0.8914,0.0,0
weighted_slope_log_ratio_minus_e3_0,quadratic_validation_fit,184,,40,40,0.88,0.88,0.0,0
weighted_slope_log_ratio_minus_e3_0,quadratic_validation_fit,285,,60,60,0.8822,0.8822,0.0,0
forecast_log_ratio_e18_minus_e3_0,target_distance,83,3.9939096546202744,20,60,0.8874,0.8914,0.0040000000000000036,40
forecast_log_ratio_e18_minus_e3_0,target_distance,184,4.244834672812457,20,40,0.8688,0.88,0.011199999999999988,20
forecast_log_ratio_e18_minus_e3_0,target_distance,285,3.3264408968112367,60,60,0.8822,0.8822,0.0,0
forecast_log_ratio_e18_minus_e3_0,quadratic_validation_fit,83,,20,60,0.8874,0.8914,0.0040000000000000036,40
forecast_log_ratio_e18_minus_e3_0,quadratic_validation_fit,184,,20,40,0.8688,0.88,0.011199999999999988,20
forecast_log_ratio_e18_minus_e3_0,quadratic_validation_fit,285,,60,60,0.8822,0.8822,0.0,0
mean_log_ratio_minus_e3_0,target_distance,83,3.148544920552552,40,60,0.8874,0.8914,0.0040000000000000036,20
mean_log_ratio_minus_e3_0,target_distance,184,3.36022695803549,20,40,0.8688,0.88,0.011199999999999988,20
mean_log_ratio_minus_e3_0,target_distance,285,2.701620029854213,60,60,0.8822,0.8822,0.0,0
mean_log_ratio_minus_e3_0,quadratic_validation_fit,83,,20,60,0.8874,0.8914,0.0040000000000000036,40
mean_log_ratio_minus_e3_0,quadratic_validation_fit,184,,20,40,0.8688,0.88,0.011199999999999988,20
mean_log_ratio_minus_e3_0,quadratic_validation_fit,285,,60,60,0.8822,0.8822,0.0,0
