feature,method,mean_validation_regret,max_validation_regret,mean_absolute_e3_error,exact_selections,selections
slope_log_ratio_minus_e3_0,quadratic_validation_fit,0.0,0.0,0.0,3,60/40/60
weighted_slope_log_ratio_minus_e3_0,quadratic_validation_fit,0.0,0.0,0.0,3,60/40/60
slope_log_ratio_minus_e3_0,target_distance,0.00013333333333331865,0.00039999999999995595,6.666666666666667,2,60/40/40
weighted_slope_log_ratio,target_distance,0.00013333333333331865,0.00039999999999995595,6.666666666666667,2,60/40/40
weighted_slope_log_ratio_minus_e3_0,target_distance,0.00013333333333331865,0.00039999999999995595,6.666666666666667,2,60/40/40
slope_log_ratio,target_distance,0.0009333333333333416,0.0028000000000000247,13.333333333333334,2,60/40/20
ema_log_ratio_alpha_0_5,quadratic_validation_fit,0.0013333333333333346,0.0040000000000000036,13.333333333333334,2,20/40/60
endpoint_log_ratio,quadratic_validation_fit,0.0013333333333333346,0.0040000000000000036,13.333333333333334,2,20/40/60
forecast_log_ratio_e18,quadratic_validation_fit,0.0013333333333333346,0.0040000000000000036,13.333333333333334,2,20/40/60
mean_log_ratio,quadratic_validation_fit,0.0013333333333333346,0.0040000000000000036,13.333333333333334,2,20/40/60
ema_log_ratio_alpha_0_5,target_distance,0.0037333333333333294,0.011199999999999988,6.666666666666667,2,60/20/60
endpoint_log_ratio,target_distance,0.0037333333333333294,0.011199999999999988,6.666666666666667,2,60/20/60
forecast_log_ratio_e18,target_distance,0.0037333333333333294,0.011199999999999988,6.666666666666667,2,60/20/60
mean_log_ratio,target_distance,0.0037333333333333294,0.011199999999999988,6.666666666666667,2,60/20/60
slope_log_ratio,quadratic_validation_fit,0.0037333333333333294,0.011199999999999988,6.666666666666667,2,60/20/60
weighted_slope_log_ratio,quadratic_validation_fit,0.0037333333333333294,0.011199999999999988,6.666666666666667,2,60/20/60
ema_log_ratio_alpha_0_5_minus_e3_0,target_distance,0.005066666666666664,0.011199999999999988,13.333333333333334,1,40/20/60
endpoint_log_ratio_minus_e3_0,target_distance,0.005066666666666664,0.011199999999999988,13.333333333333334,1,40/20/60
mean_log_ratio_minus_e3_0,target_distance,0.005066666666666664,0.011199999999999988,13.333333333333334,1,40/20/60
ema_log_ratio_alpha_0_5_minus_e3_0,quadratic_validation_fit,0.005066666666666664,0.011199999999999988,20.0,1,20/20/60
endpoint_log_ratio_minus_e3_0,quadratic_validation_fit,0.005066666666666664,0.011199999999999988,20.0,1,20/20/60
forecast_log_ratio_e18_minus_e3_0,quadratic_validation_fit,0.005066666666666664,0.011199999999999988,20.0,1,20/20/60
forecast_log_ratio_e18_minus_e3_0,target_distance,0.005066666666666664,0.011199999999999988,20.0,1,20/20/60
mean_log_ratio_minus_e3_0,quadratic_validation_fit,0.005066666666666664,0.011199999999999988,20.0,1,20/20/60
