seed,target_fraction,phase_epoch,checkpoint_path,weak_only_accuracy,weak_only_loss,gap_mean,ci_lower,ci_upper,standard_error,effective_alpha,n_examples,ci_crossing
83,0.99,0,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_pre_intervention.pth",0.2596,5.052744558971103,-0.6544486031598881,-0.6871648021079494,-0.6217324042118267,0.009343966586311932,0.00046296296296296336,5000,False
83,0.99,1,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_1.pth",0.5052,1.4080390739821915,-0.36571124129767324,-0.39932621683603875,-0.33209626575930773,0.00960066322890463,0.00046296296296296336,5000,False
83,0.99,2,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_2.pth",0.5412,1.3276923655059834,-0.3233881752266645,-0.35653171471965367,-0.29024463573367537,0.009466017921771827,0.00046296296296296336,5000,False
83,0.99,3,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_3.pth",0.5628,1.2289947647378565,-0.2979943355840593,-0.33076880325264635,-0.26521986791547225,0.009360608525018941,0.00046296296296296336,5000,False
83,0.99,4,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_4.pth",0.5776,1.2229261357195955,-0.2805948528659779,-0.31314889331650037,-0.24804081241545547,0.009297653028153939,0.00046296296296296336,5000,False
83,0.99,8,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_8.pth",0.649,1.0525270733888135,-0.19665410515847734,-0.22839700511901118,-0.1649112051979435,0.009065985845566782,0.00046296296296296336,5000,False
83,0.99,12,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_12.pth",0.6926,0.8797684737775863,-0.14539616958358906,-0.17574560741856837,-0.11504673174860973,0.008668003685073655,0.00046296296296296336,5000,False
83,0.99,16,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_16.pth",0.7178,0.8366360758171071,-0.11577002333388298,-0.14595545319819803,-0.08558459346956793,0.008621161904944831,0.00046296296296296336,5000,False
83,0.99,20,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_20.pth",0.7492,0.7665518118223017,-0.07885490459416983,-0.108312070374992,-0.04939773881334765,0.00841316478177745,0.00046296296296296336,5000,False
83,0.99,24,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_24.pth",0.7432,0.7821394122269023,-0.08590874893933795,-0.11562946959204007,-0.05618802828663583,0.008488437826803722,0.00046296296296296336,5000,False
83,0.99,28,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_28.pth",0.757,0.7203171610915085,-0.06968490694545128,-0.0989082168114357,-0.04046159707946685,0.00834637395874436,0.00046296296296296336,5000,False
83,0.99,32,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_32.pth",0.7638,0.7636927505790471,-0.06169055002092741,-0.0905634465396916,-0.032817653502163216,0.008246293548638602,0.00046296296296296336,5000,False
83,0.99,36,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_36.pth",0.7826,0.6850320946158496,-0.039588504406067315,-0.06801225662748102,-0.011164752184653612,0.008118014914756402,0.00046296296296296336,5000,False
83,0.99,40,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_40.pth",0.7792,0.7452245809820617,-0.04358568286832925,-0.07132485466069338,-0.01584651107596512,0.007922494137271297,0.00046296296296296336,5000,False
83,0.99,44,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_44.pth",0.7934,0.6841527252635369,-0.026891584584764712,-0.054862729413489145,0.0010795602439597207,0.007988747197540221,0.00046296296296296336,5000,False
83,0.99,48,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_48.pth",0.7904,0.7257272401813518,-0.03041850675734877,-0.058580994119793756,-0.0022560193949037813,0.008043395912828434,0.00046296296296296336,5000,False
83,0.99,52,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_52.pth",0.787,0.7298294610073347,-0.0344156852196107,-0.0623934527418471,-0.0064379176973742985,0.00799063868337528,0.00046296296296296336,5000,False
83,0.99,56,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_56.pth",0.795,0.732619880529159,-0.025010559426053208,-0.05276147147319956,0.0027403526210931436,0.007925847233044252,0.00046296296296296336,5000,False
83,0.99,60,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_60.pth",0.8022,0.706518266026663,-0.016545946211851473,-0.04455041599945779,0.011458523575754845,0.00799826503006034,0.00046296296296296336,5000,False
83,0.99,64,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_64.pth",0.7912,0.7837668828340437,-0.029477994177993013,-0.0574514524733292,-0.001504535882656824,0.007989407939173231,0.00046296296296296336,5000,False
83,0.99,68,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_68.pth",0.7914,0.7668642908822092,-0.029242866033154076,-0.05688397790774693,-0.0016017541585612236,0.007894487564852358,0.00046296296296296336,5000,False
83,0.99,72,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_72.pth",0.7964,0.7252589401213452,-0.023364662412180652,-0.05117960258062206,0.004450277756260758,0.0079441340953694,0.00046296296296296336,5000,False
83,0.99,76,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_76.pth",0.7984,0.7649077571784788,-0.021013380963791278,-0.048876514149514466,0.0068497522219319075,0.007957898345424529,0.00046296296296296336,5000,False
83,0.99,80,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_80.pth",0.7996,0.7761942075916735,-0.019602612094757655,-0.047429576532281054,0.008224352342765747,0.00794756830753767,0.00046296296296296336,5000,False
83,0.99,84,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_84.pth",0.8018,0.7530327795469632,-0.017016202501529347,-0.04488386527157595,0.010851460268517254,0.00795919202518956,0.00046296296296296336,5000,False
83,0.99,88,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_88.pth",0.8036,0.7477593285214095,-0.014900049197978913,-0.04266251073208174,0.012862412336123914,0.007929145844242383,0.00046296296296296336,5000,False
83,0.99,92,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_92.pth",0.8048,0.7829908227882914,-0.013489280328945287,-0.040991559582026924,0.014012998924136353,0.007854836033861539,0.00046296296296296336,5000,False
83,0.99,96,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_96.pth",0.8108,0.767933690571401,-0.006435435983777171,-0.033990314248871716,0.021119442281317374,0.007869858665662435,0.00046296296296296336,5000,False
83,0.99,100,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_100.pth",0.8066,0.8016057569662978,-0.011373127025394853,-0.03919018847591962,0.01644393442512991,0.007944739947807774,0.00046296296296296336,5000,False
83,0.99,104,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_104.pth",0.8048,0.8151987510966511,-0.013489280328945287,-0.040913322699809414,0.01393476204191884,0.007832491053797741,0.00046296296296296336,5000,False
83,0.99,108,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_108.pth",0.7974,0.8860173528324035,-0.022189021687985963,-0.05008637928557171,0.005708335909599786,0.007967673067768884,0.00046296296296296336,5000,False
83,0.99,112,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_112.pth",0.8118,0.8102558903314683,-0.005259795259582487,-0.03283127805694816,0.02231168753778319,0.007874601031820836,0.00046296296296296336,5000,False
83,0.99,116,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_116.pth",0.8118,0.8240026963551937,-0.005259795259582485,-0.03275940152024804,0.02223981100108307,0.00785407260923935,0.00046296296296296336,5000,False
83,0.99,120,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_120.pth",0.804,0.8666915397942675,-0.014429792908301034,-0.041973252514451824,0.013113666697849755,0.007866597419825157,0.00046296296296296336,5000,False
83,0.99,124,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_124.pth",0.8108,0.8604716244545966,-0.006435435983777171,-0.03387223719580602,0.021001365228251676,0.00783613506469621,0.00046296296296296336,5000,False
83,0.99,128,"/net/storage/pr3/plgrid/plggdnnp/reports/phase3, phase 3 intervention, trained with phase1=40, phase2=200, mm_cifar10, mm_resnet, sgd, epochs=200_overlap=0.0_lr=0.6_wd=0.0_lambda=1.0/2026-08-01_17-00-47-175297/checkpoints/model_step_phase3_candidate_epoch_128.pth",0.8146,0.8095757270626367,-0.0019680012318373684,-0.029229070647245926,0.025293068183571188,0.00778594488097776,0.00046296296296296336,5000,False
