wandb_entity,wandb_project,wandb_run_id,slurm_job_id,protocol,seed,phase1,phase2,phase3,phase4,status,notes
bartekk,CLPIntervention_Phase3Stopping,qji2o80g,20258725,cifar10_phase3_stopper_observe_p1_40_v1,83,40,200,200,200,failed,Failed at first Phase-3 epoch before get_last_lr fix
bartekk,CLPIntervention_Phase3Stopping,6jr9l846,20258727,cifar10_phase3_stopper_observe_p1_40_v1,184,40,200,200,200,failed,Failed at first Phase-3 epoch before get_last_lr fix
bartekk,CLPIntervention_Phase3Stopping,tnbu2do4,20258726,cifar10_phase3_stopper_observe_p1_40_v1,285,40,200,200,200,failed,Failed at first Phase-3 epoch before get_last_lr fix
bartekk,CLPIntervention_Phase3Stopping,9dn3areq,20271382,cifar10_phase3_stopper_observe_p1_40_v1,83,40,200,200,200,completed,Resumed pre-Phase-3; per-step warmup; selected e3=195
bartekk,CLPIntervention_Phase3Stopping,jt7wysoc,20271386,cifar10_phase3_stopper_observe_p1_40_v1,184,40,200,200,200,completed,Resumed pre-Phase-3; per-step warmup; selected e3=175
bartekk,CLPIntervention_Phase3Stopping,9lldtxng,20271385,cifar10_phase3_stopper_observe_p1_40_v1,285,40,200,200,200,completed,Resumed pre-Phase-3; per-step warmup; selected e3=200
bartekk,CLPIntervention_Phase3Stopping,f281x6re,20273138,cifar10_phase4_milestone_p1_40_v1,83,40,200,20,200,completed,Validation-selected Phase-4 checkpoint; post-hoc test proper and blurred
bartekk,CLPIntervention_Phase3Stopping,9svuw236,20273152,cifar10_phase4_milestone_p1_40_v1,83,40,200,40,200,completed,Validation-selected Phase-4 checkpoint; post-hoc test proper and blurred
bartekk,CLPIntervention_Phase3Stopping,3qfosuj5,20273143,cifar10_phase4_milestone_p1_40_v1,83,40,200,60,200,completed,Validation-selected Phase-4 checkpoint; post-hoc test proper and blurred
bartekk,CLPIntervention_Phase3Stopping,bc4lwwfu,20273146,cifar10_phase4_milestone_p1_40_v1,83,40,200,80,200,completed,Validation-selected Phase-4 checkpoint; post-hoc test proper and blurred
bartekk,CLPIntervention_Phase3Stopping,rkav3tie,20273140,cifar10_phase4_milestone_p1_40_v1,83,40,200,200,200,completed,Validation-selected Phase-4 checkpoint; post-hoc test proper and blurred
bartekk,CLPIntervention_Phase3Stopping,17oc3d1x,20273145,cifar10_phase4_milestone_p1_40_v1,184,40,200,20,200,completed,Validation-selected Phase-4 checkpoint; post-hoc test proper and blurred
bartekk,CLPIntervention_Phase3Stopping,ag1046vl,20273141,cifar10_phase4_milestone_p1_40_v1,184,40,200,40,200,completed,Validation-selected Phase-4 checkpoint; post-hoc test proper and blurred
bartekk,CLPIntervention_Phase3Stopping,sjcgvzy6,20273147,cifar10_phase4_milestone_p1_40_v1,184,40,200,60,200,completed,Validation-selected Phase-4 checkpoint; post-hoc test proper and blurred
bartekk,CLPIntervention_Phase3Stopping,waa1yqfr,20273153,cifar10_phase4_milestone_p1_40_v1,184,40,200,80,200,completed,Validation-selected Phase-4 checkpoint; post-hoc test proper and blurred
bartekk,CLPIntervention_Phase3Stopping,sp2jucor,20273139,cifar10_phase4_milestone_p1_40_v1,184,40,200,200,200,completed,Validation-selected Phase-4 checkpoint; post-hoc test proper and blurred
bartekk,CLPIntervention_Phase3Stopping,ccvy5456,20273137,cifar10_phase4_milestone_p1_40_v1,285,40,200,20,200,completed,Validation-selected Phase-4 checkpoint; post-hoc test proper and blurred
bartekk,CLPIntervention_Phase3Stopping,4pbhvphd,20273148,cifar10_phase4_milestone_p1_40_v1,285,40,200,40,200,completed,Validation-selected Phase-4 checkpoint; post-hoc test proper and blurred
bartekk,CLPIntervention_Phase3Stopping,gfxxrlek,20273149,cifar10_phase4_milestone_p1_40_v1,285,40,200,60,200,completed,Validation-selected Phase-4 checkpoint; post-hoc test proper and blurred
bartekk,CLPIntervention_Phase3Stopping,fbvx1en2,20273142,cifar10_phase4_milestone_p1_40_v1,285,40,200,80,200,completed,Validation-selected Phase-4 checkpoint; post-hoc test proper and blurred
bartekk,CLPIntervention_Phase3Stopping,xj0cqayb,20273150,cifar10_phase4_milestone_p1_40_v1,285,40,200,200,200,completed,Validation-selected Phase-4 checkpoint; post-hoc test proper and blurred
bartekk,CLPIntervention_Phase3Stopping,pr4byikq,20273663,cifar10_phase3_local_accuracy_shadow_p1_40_v1,83,40,200,80,0,completed,Standalone Phase-3 shadow selected e3=30 by paired-CI target; gradient probe logged
bartekk,CLPIntervention_Phase3Stopping,rxmj419y,20281023,cifar10_phase3_local_accuracy_shadow_p1_40_v1,184,40,200,80,0,completed,Exact paired-CI target selected e3=35
bartekk,CLPIntervention_Phase3Stopping,9ghnidgh,20281024,cifar10_phase3_local_accuracy_shadow_p1_40_v1,285,40,200,80,0,completed,Exact paired-CI target selected e3=30; later Pareto reversal at e3=65
bartekk,CLPIntervention_Phase3Stopping,axml02gi,20282321,cifar10_phase4_stopper_selected_p1_40_v1,83,40,200,30,200,completed,Validation-selected P4 from exact e3=30; test final-only
bartekk,CLPIntervention_Phase3Stopping,j8c2kzju,20282322,cifar10_phase4_stopper_selected_p1_40_v1,184,40,200,35,200,completed,Validation-selected P4 from exact e3=35; test final-only
